"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\.eslintrc.cjs", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\package-lock.json", "JSON", 0, 8264, 0, 0, 0, 0, 0, 0, 0, 1, 8265
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\package.json", "JSON", 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-image.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-list.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-photo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\add-uder.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-left.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-chevron-up.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-reverse.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-down-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-left-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-right-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\arrow-to-top-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\attachment.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check-circle-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front\public\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 1, 1, 8
