Date : 2025-05-26 15:52:06
Directory : c:\Users\denis\OneDrive\Рабочий стол\VKR\gustolib-front
Total : 213 files,  15334 codes, 48 comments, 1102 blanks, all 16484 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |      8,392 |          5 |          5 |      8,402 |
| TypeScript JSX     |         66 |      3,170 |         29 |        490 |      3,689 |
| TypeScript         |         34 |      1,761 |          0 |        295 |      2,056 |
| SCSS               |         35 |      1,670 |          4 |        303 |      1,977 |
| XML                |         70 |        236 |         10 |          6 |        252 |
| JavaScript         |          1 |         85 |          0 |          1 |         86 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        213 |     15,334 |         48 |      1,102 |     16,484 |
| . (Files)                                                                                                                |          8 |      8,516 |          5 |         10 |      8,531 |
| public                                                                                                                   |         71 |        237 |         10 |          6 |        253 |
| public (Files)                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| public\icons                                                                                                             |         66 |        216 |          5 |          6 |        227 |
| public\img                                                                                                               |          4 |         20 |          5 |          0 |         25 |
| src                                                                                                                      |        134 |      6,581 |         33 |      1,086 |      7,700 |
| src (Files)                                                                                                              |          4 |        159 |         16 |         29 |        204 |
| src\components                                                                                                           |         30 |      1,191 |          0 |        188 |      1,379 |
| src\components\CategoryCard                                                                                              |          3 |        193 |          0 |         26 |        219 |
| src\components\Crumbs                                                                                                    |          3 |         87 |          0 |         16 |        103 |
| src\components\EditName                                                                                                  |          2 |         55 |          0 |          9 |         64 |
| src\components\Header                                                                                                    |          2 |        232 |          0 |         31 |        263 |
| src\components\Loader                                                                                                    |          3 |         57 |          0 |          9 |         66 |
| src\components\LogoutButton                                                                                              |          3 |         27 |          0 |          7 |         34 |
| src\components\NavigationMenu                                                                                            |          3 |        132 |          0 |         20 |        152 |
| src\components\Portal                                                                                                    |          2 |         13 |          0 |          6 |         19 |
| src\components\RecipeCard                                                                                                |          3 |        236 |          0 |         35 |        271 |
| src\components\RecipesGrid                                                                                               |          3 |         91 |          0 |         17 |        108 |
| src\components\ThemeSwitcher                                                                                             |          3 |         68 |          0 |         12 |         80 |
| src\context                                                                                                              |          1 |         20 |          0 |          6 |         26 |
| src\features                                                                                                             |         23 |        930 |          0 |        151 |      1,081 |
| src\features\ImageUploader                                                                                               |          2 |        106 |          0 |          9 |        115 |
| src\features\Profile                                                                                                     |         21 |        824 |          0 |        142 |        966 |
| src\features\Profile\EditingUserData                                                                                     |          3 |         27 |          0 |          6 |         33 |
| src\features\Profile\UserCategories                                                                                      |          3 |        229 |          0 |         38 |        267 |
| src\features\Profile\UserData                                                                                            |          3 |         28 |          0 |          4 |         32 |
| src\features\Profile\UserDevices                                                                                         |          3 |         90 |          0 |         20 |        110 |
| src\features\Profile\UserProfile                                                                                         |          3 |         59 |          0 |         15 |         74 |
| src\features\Profile\UserRecipes                                                                                         |          3 |        134 |          0 |         22 |        156 |
| src\features\Profile\UserSettings                                                                                        |          3 |        257 |          0 |         37 |        294 |
| src\hooks                                                                                                                |          2 |         41 |          0 |         11 |         52 |
| src\pages                                                                                                                |         41 |      2,514 |         13 |        410 |      2,937 |
| src\pages\Authorization                                                                                                  |          3 |        198 |          0 |         32 |        230 |
| src\pages\Categories                                                                                                     |          5 |        267 |          0 |         48 |        315 |
| src\pages\Categories (Files)                                                                                             |          3 |         67 |          0 |         11 |         78 |
| src\pages\Categories\router                                                                                              |          2 |        200 |          0 |         37 |        237 |
| src\pages\Home                                                                                                           |          3 |        312 |          0 |         52 |        364 |
| src\pages\PageNotFound                                                                                                   |          3 |         25 |          0 |          8 |         33 |
| src\pages\Profile                                                                                                        |          7 |        800 |         12 |        115 |        927 |
| src\pages\Profile (Files)                                                                                                |          3 |        185 |          0 |         33 |        218 |
| src\pages\Profile\router                                                                                                 |          4 |        615 |         12 |         82 |        709 |
| src\pages\Recipe                                                                                                         |         17 |        523 |          0 |         97 |        620 |
| src\pages\Recipe (Files)                                                                                                 |          2 |         96 |          0 |         18 |        114 |
| src\pages\Recipe\RecipeCompounds                                                                                         |          3 |        138 |          0 |         22 |        160 |
| src\pages\Recipe\RecipeCook                                                                                              |          3 |         99 |          0 |         19 |        118 |
| src\pages\Recipe\RecipeCrumbs                                                                                            |          3 |         35 |          0 |          7 |         42 |
| src\pages\Recipe\RecipeDesc                                                                                              |          3 |        122 |          0 |         22 |        144 |
| src\pages\Recipe\RecipeDesciption                                                                                        |          3 |         33 |          0 |          9 |         42 |
| src\pages\WorldMap                                                                                                       |          3 |        389 |          1 |         58 |        448 |
